id,menu_id,page_number,image_id,full_height,full_width,uuid
119,12460,1,1603595,7230,5428,510d47e4-2955-a3d9-e040-e00a18064a99
120,12460,2,1603596,5428,7230,510d47e4-2956-a3d9-e040-e00a18064a99
121,12460,3,1603597,7230,5428,510d47e4-2957-a3d9-e040-e00a18064a99
122,12460,4,1603598,7230,5428,510d47e4-2958-a3d9-e040-e00a18064a99
123,12461,1,1603591,7230,5428,510d47e4-2959-a3d9-e040-e00a18064a99
124,12461,2,1603592,7230,5428,510d47e4-295a-a3d9-e040-e00a18064a99
125,12461,3,1603593,7230,5428,510d47e4-295b-a3d9-e040-e00a18064a99
126,12461,4,1603594,7230,5428,510d47e4-295c-a3d9-e040-e00a18064a99
127,12462,2,4000001128,,,510d47db-1ef8-a3d9-e040-e00a18064a99
128,12462,1,474450,,,510d47db-1ef9-a3d9-e040-e00a18064a99
129,12463,2,4000009170,3074,2046,510d47db-491e-a3d9-e040-e00a18064a99
130,12463,1,466928,3049,2004,510D47DB-491F-A3D9-E040-E00A18064A99
131,12464,2,4000009171,3690,2888,510d47db-4920-a3d9-e040-e00a18064a99
132,12464,1,466930,3679,2866,510d47db-4921-a3d9-e040-e00a18064a99
133,12465,2,4000009172,3413,2307,510d47db-4922-a3d9-e040-e00a18064a99
134,12465,1,466931,3411,2291,510d47db-4923-a3d9-e040-e00a18064a99
135,12466,2,4000009173,3352,2312,510d47db-4924-a3d9-e040-e00a18064a99
136,12466,1,466932,3365,2305,510d47db-4925-a3d9-e040-e00a18064a99
137,12467,2,4000009174,3090,2102,510d47db-4926-a3d9-e040-e00a18064a99
138,12467,3,4000009175,3070,2114,510d47db-4927-a3d9-e040-e00a18064a99
139,12467,4,4000009176,3091,2230,510d47db-4928-a3d9-e040-e00a18064a99
140,12467,1,466933,3091,2213,510d47db-4929-a3d9-e040-e00a18064a99
141,12468,2,4000009178,2950,1921,510d47db-492c-a3d9-e040-e00a18064a99
142,12468,1,466935,2957,1929,510d47db-492d-a3d9-e040-e00a18064a99
143,12469,2,4000009180,3593,2468,510d47db-4930-a3d9-e040-e00a18064a99
144,12469,1,466939,3575,2485,510d47db-4931-a3d9-e040-e00a18064a99
145,12470,2,4000009181,3434,2305,510d47db-4932-a3d9-e040-e00a18064a99
146,12470,1,466940,3427,2282,510d47db-4933-a3d9-e040-e00a18064a99
147,12471,2,4000009182,3431,2314,510d47db-4934-a3d9-e040-e00a18064a99
148,12471,1,466941,3454,2305,510d47db-4935-a3d9-e040-e00a18064a99
149,12472,2,4000009183,3076,2111,510d47db-4936-a3d9-e040-e00a18064a99
150,12472,3,4000009184,3054,2108,510d47db-4937-a3d9-e040-e00a18064a99
151,12472,4,4000009185,3060,2225,510d47db-4938-a3d9-e040-e00a18064a99
152,12472,1,466942,3081,2220,510d47db-4939-a3d9-e040-e00a18064a99
153,12473,2,4000009187,2306,1808,510d47db-493c-a3d9-e040-e00a18064a99
154,12473,1,466944,2293,1807,510d47db-493d-a3d9-e040-e00a18064a99
155,12474,2,4000009188,2840,2008,510d47db-493e-a3d9-e040-e00a18064a99
156,12474,3,4000009189,2843,2054,510d47db-493f-a3d9-e040-e00a18064a99
157,12474,4,4000009190,2920,2064,510d47db-4940-a3d9-e040-e00a18064a99
158,12474,5,4000009191,2852,2112,510d47db-4941-a3d9-e040-e00a18064a99
159,12474,6,4000009192,2874,2059,510d47db-4942-a3d9-e040-e00a18064a99
160,12474,7,4000009193,2870,2081,510d47db-4943-a3d9-e040-e00a18064a99
161,12474,8,4000009194,2869,2113,510d47db-4944-a3d9-e040-e00a18064a99
162,12474,9,4000009195,2867,2076,510d47db-4945-a3d9-e040-e00a18064a99
163,12474,10,4000009196,2896,2091,510d47db-4946-a3d9-e040-e00a18064a99
164,12474,11,4000009197,2868,2044,510d47db-4947-a3d9-e040-e00a18064a99
165,12474,12,4000009198,2895,2688,510d47db-4948-a3d9-e040-e00a18064a99
166,12474,1,466945,2880,2407,510d47db-4949-a3d9-e040-e00a18064a99
167,12475,2,4000009199,3909,2481,510d47db-494a-a3d9-e040-e00a18064a99
168,12475,1,466946,3929,2494,510d47db-494b-a3d9-e040-e00a18064a99
169,12476,2,4000009200,3821,2397,510d47db-494c-a3d9-e040-e00a18064a99
170,12476,3,4000009201,3813,2385,510d47db-494d-a3d9-e040-e00a18064a99
171,12476,4,4000009202,3813,2521,510d47db-494e-a3d9-e040-e00a18064a99
172,12476,1,466947,3835,2520,510d47db-494f-a3d9-e040-e00a18064a99
173,12477,2,4000009203,3500,2299,510d47db-4950-a3d9-e040-e00a18064a99
174,12477,1,466948,3525,2303,510d47db-4951-a3d9-e040-e00a18064a99
175,12478,2,4000009203,3500,2299,510d47db-4950-a3d9-e040-e00a18064a99
176,12478,1,466948,3525,2303,510d47db-4951-a3d9-e040-e00a18064a99
177,12479,2,4000009205,3515,2195,510d47db-4954-a3d9-e040-e00a18064a99
178,12479,3,4000009206,3511,2190,510d47db-4955-a3d9-e040-e00a18064a99
179,12479,4,4000009207,3505,2311,510d47db-4956-a3d9-e040-e00a18064a99
